-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 3/40 	 lr=9.7e-04 	 t=270s  	 loss=0.028 	 val_loss=0.018 	 micro_f1=0.160 	 samples_f1=0.088
Epoch 4/40 	 lr=9.5e-04 	 t=270s  	 loss=0.023 	 val_loss=0.016 	 micro_f1=0.224 	 samples_f1=0.130
Epoch 5/40 	 lr=9.2e-04 	 t=270s  	 loss=0.021 	 val_loss=0.013 	 micro_f1=0.415 	 samples_f1=0.285
Epoch 6/40 	 lr=8.9e-04 	 t=270s  	 loss=0.021 	 val_loss=0.016 	 micro_f1=0.472 	 samples_f1=0.338
Epoch 7/40 	 lr=8.7e-04 	 t=271s  	 loss=0.020 	 val_loss=0.011 	 micro_f1=0.540 	 samples_f1=0.403
Epoch 8/40 	 lr=8.4e-04 	 t=270s  	 loss=0.018 	 val_loss=0.011 	 micro_f1=0.581 	 samples_f1=0.465
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.017 	 val_loss=0.010 	 micro_f1=0.580 	 samples_f1=0.443
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.015 	 val_loss=0.009 	 micro_f1=0.658 	 samples_f1=0.565
Epoch 11/40 	 lr=7.6e-04 	 t=270s  	 loss=0.016 	 val_loss=0.009 	 micro_f1=0.657 	 samples_f1=0.566
Epoch 12/40 	 lr=7.4e-04 	 t=271s  	 loss=0.015 	 val_loss=0.009 	 micro_f1=0.682 	 samples_f1=0.588
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.014 	 val_loss=0.010 	 micro_f1=0.678 	 samples_f1=0.599
Epoch 14/40 	 lr=6.8e-04 	 t=270s  	 loss=0.014 	 val_loss=0.010 	 micro_f1=0.661 	 samples_f1=0.558
Epoch 15/40 	 lr=6.6e-04 	 t=270s  	 loss=0.013 	 val_loss=0.009 	 micro_f1=0.704 	 samples_f1=0.643
Epoch 16/40 	 lr=6.3e-04 	 t=271s  	 loss=0.012 	 val_loss=0.009 	 micro_f1=0.695 	 samples_f1=0.620
Epoch 17/40 	 lr=6.1e-04 	 t=270s  	 loss=0.012 	 val_loss=0.009 	 micro_f1=0.682 	 samples_f1=0.605
Epoch 18/40 	 lr=5.8e-04 	 t=270s  	 loss=0.012 	 val_loss=0.008 	 micro_f1=0.712 	 samples_f1=0.653
Epoch 19/40 	 lr=5.5e-04 	 t=270s  	 loss=0.012 	 val_loss=0.008 	 micro_f1=0.722 	 samples_f1=0.668
Epoch 20/40 	 lr=5.3e-04 	 t=271s  	 loss=0.010 	 val_loss=0.008 	 micro_f1=0.729 	 samples_f1=0.678
Epoch 21/40 	 lr=5.0e-04 	 t=270s  	 loss=0.010 	 val_loss=0.008 	 micro_f1=0.742 	 samples_f1=0.702
Epoch 22/40 	 lr=4.7e-04 	 t=271s  	 loss=0.011 	 val_loss=0.008 	 micro_f1=0.732 	 samples_f1=0.682
Epoch 23/40 	 lr=4.5e-04 	 t=270s  	 loss=0.010 	 val_loss=0.007 	 micro_f1=0.752 	 samples_f1=0.706
